"type","tag","title","author","year","volume","number","journal","pages","editor","booktitle","publisher","address","doi","misc","report","keywords","url","Link","keyword1","keyword2","keyword3","keyword4","keyword5","...25"
"techreport","tbep0909","Knowledge-Based Seagrass Maps for Tampa Bay, Florida","Coastal Resources Group, Inc.","2009","NA","#09-09","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#09-09","seagrass, monitoring, status and trends, assessment","https://drive.google.com/file/d/1tzslZZTSxjQSFFWR2J5VRxDy9df4DCn1/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1tzslZZTSxjQSFFWR2J5VRxDy9df4DCn1/view?usp=drivesdk"">View Document</a>","seagrass","monitoring","status and trends","assessment",NA,NA
"techreport","tbep0809","Characterization of the Underwater Light Environment and Its Relevance to Seagrass Recovery and Sustainability in Tampa Bay, Florida","C. Anastasiou","2009","NA","#08-09","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#08-09","seagrass, light attenuation, water quality, chlorophyll","https://drive.google.com/file/d/1BAth1WTVewFlI4BfGlOKMmfFsU9cIRYC/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1BAth1WTVewFlI4BfGlOKMmfFsU9cIRYC/view?usp=drivesdk"">View Document</a>","seagrass","light attenuation","water quality","chlorophyll",NA,NA
"techreport","tbep0709","Areal Extent, Source and Ecological Status of Organic Sediment Accumulation in Safety Harbor, Tampa Bay","E. Peebles, D. Hollander, S. Locker, P. Swarzenski, G. Brooks","2009","NA","#07-09","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#07-09","benthos, recreation","https://drive.google.com/file/d/1XnqNna-x9gBsAIxKrHdUp2V5HLDDyuep/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1XnqNna-x9gBsAIxKrHdUp2V5HLDDyuep/view?usp=drivesdk"">View Document</a>","benthos","recreation",NA,NA,NA,NA
"techreport","tbep0609","Tampa Bay Estuary Program Habitat Master Plan Update","D. Robison","2010","NA","#06-09","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#06-09","bay habitats, water quality, sea level rise, climate change, dredging","https://drive.google.com/file/d/13iVkFKFG_EMNGwRWdgPPZfCL5JlatNcr/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/13iVkFKFG_EMNGwRWdgPPZfCL5JlatNcr/view?usp=drivesdk"">View Document</a>","bay habitats","water quality","sea level rise","climate change","dredging",NA
"techreport","tbep0509","The Benthic Macrofaunal Community and Sediment Quality Conditions in Clam Bayou, Pinellas County, Florida","D. Karlen, T. Dix, B. Goetting, S. Markham","2009","NA","#05-09","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#05-09","benthos, monitoring, assessment","https://drive.google.com/file/d/13Ft7X7dvwQgcFfDXizpDwXGj45M5Od87/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/13Ft7X7dvwQgcFfDXizpDwXGj45M5Od87/view?usp=drivesdk"">View Document</a>","benthos","monitoring","assessment",NA,NA,NA
"techreport","tbep0409","A Tampa Bay Estuary Program Progress Report 2009","N. O'Hara","2009","NA","#04-09","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#04-09","water quality, seagrass, fish and wildlife, education, recreation","https://drive.google.com/file/d/1uYusLaiVCrHJKyoKY2_kfwUtXSXitiw-/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1uYusLaiVCrHJKyoKY2_kfwUtXSXitiw-/view?usp=drivesdk"">View Document</a>","water quality","seagrass","fish and wildlife","education","recreation",NA
"techreport","tbep0309","Field Measurements of Bottom Stress due to Wave Action and Tidal Velocity in Tampa Bay to Support Seagrass Restoration and Shoreline Protection","S. Gilbert, B. Robbins, M. Luther, R. Lewis III","2009","NA","#03-09","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#03-09","seagrass, restoration, shipping, assessment","https://drive.google.com/file/d/1cPGqbR5fi2-C9fdBkSTVI4FG6tWMFD7-/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1cPGqbR5fi2-C9fdBkSTVI4FG6tWMFD7-/view?usp=drivesdk"">View Document</a>","seagrass","restoration","shipping","assessment",NA,NA
"techreport","tbep0209","2008 Tampa Bay Water Quality Assessment","E. Sherwood","2009","NA","#02-09","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#02-09","status and trends, water quality, chlorophyll, seagrass, light attenuation","https://drive.google.com/file/d/1A4-FpidfYgKVQrDMYUvi_a-QzzuDXjzy/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1A4-FpidfYgKVQrDMYUvi_a-QzzuDXjzy/view?usp=drivesdk"">View Document</a>","status and trends","water quality","chlorophyll","seagrass","light attenuation",NA
"techreport","tbep0109","Restoration of Seagrass Habitat in Tampa Bay using Large Manatee grass (Syringodium filiforme) units and a Discussion of Planting Site Sediment Elevation Dynamics","W. Avery, R. Johansson","2009","NA","#01-09","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#01-09","seagrass, restoration, water quality, monitoring, transect","https://drive.google.com/file/d/1pAFAwMciHiAReHctwmzPRICAaK8iHwCM/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1pAFAwMciHiAReHctwmzPRICAaK8iHwCM/view?usp=drivesdk"">View Document</a>","seagrass","restoration","water quality","monitoring","transect",NA
"techreport","tbepzz08","Model-Based Estimates of Total Nitrogen Loading to Tampa Bay: Current Conditions and 2020 Conditions","Janicki Environmental Inc.","2008","NA","NA","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","NA","nitrogen, pollutant loading","https://drive.google.com/file/d/1MhfKouPWeKC_nYpcuwy5yAvY9nRHTwT-/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1MhfKouPWeKC_nYpcuwy5yAvY9nRHTwT-/view?usp=drivesdk"">View Document</a>","nitrogen","pollutant loading",NA,NA,NA,NA
"techreport","tbepyy08","Estimates of Total Nitrogen, Total Phosphorus, Total Suspended Solids, and Biological Oxygen Demand Loadings to Tampa Bay, Florida: 2004-2007","Janicki Environmental Inc.","2008","NA","NA","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","NA","nitrogen, pollutant loading","https://drive.google.com/file/d/10uQ-rdtB_MdzNzsVmS4qh3Qg0qI_k4aI/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/10uQ-rdtB_MdzNzsVmS4qh3Qg0qI_k4aI/view?usp=drivesdk"">View Document</a>","nitrogen","pollutant loading",NA,NA,NA,NA
"techreport","tbepxx08","Estimation of Nitrogen Loading from Residential Irrigation","Janicki Environmental Inc.","2008","NA","NA","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","NA","nitrogen, pollutant loading","https://drive.google.com/file/d/1vezH7uYQf784OHctNWKursT3xAThbhbq/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1vezH7uYQf784OHctNWKursT3xAThbhbq/view?usp=drivesdk"">View Document</a>","nitrogen","pollutant loading",NA,NA,NA,NA
"techreport","tbep0708","Model-Based Estimates of Nitrogen Load Reductions Associated with Fertilizer Restriction Implementation","Tampa Bay Estuary Program","2008","NA","#07-08","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#07-08","nitrogen, regulations, water quality, stormwater","https://drive.google.com/file/d/1VC22sLDleA6eYnv16FjIU2ptgUG_p3sR/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1VC22sLDleA6eYnv16FjIU2ptgUG_p3sR/view?usp=drivesdk"">View Document</a>","nitrogen","regulations","water quality","stormwater",NA,NA
"techreport","tbep06a08","Final Report from the Workgroup to Develop Residential Ferilizer Use Guidelines for the Tampa Bay Region","Tampa Bay Estuary Program","2008","NA","#06a-08","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#06a-08","nitrogen, regulations, pollutant loading, water quality","https://drive.google.com/file/d/1xJV_NC8c47_uAsZSbqWALLik0ouLZqx6/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1xJV_NC8c47_uAsZSbqWALLik0ouLZqx6/view?usp=drivesdk"">View Document</a>","nitrogen","regulations","pollutant loading","water quality",NA,NA
"techreport","tbep0608","Tampa Bay Model Regional Fertilizer Ordinance","Tampa Bay Estuary Program","2008","NA","#06-08","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#06-08","nitrogen, regulations, pollutant loading, water quality","https://drive.google.com/file/d/1Ixi3tLsztQmVfSf_bYXhAVdkb7NnHicB/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1Ixi3tLsztQmVfSf_bYXhAVdkb7NnHicB/view?usp=drivesdk"">View Document</a>","nitrogen","regulations","pollutant loading","water quality",NA,NA
"techreport","tbep0508","Tampa Bay Benthic Interpretive Report: 1993-2004 Bay Wide Report","D. Karlen, T. Dix, B. Goetting, S. Markham, C. Meyer, M. Flock, G. Blanchard","2008","NA","#05-08","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#05-08","monitoring, benthos, assessment","https://drive.google.com/file/d/1wxhkd0xU6rjt2gq0TwZW6ZqMnEnFaspN/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1wxhkd0xU6rjt2gq0TwZW6ZqMnEnFaspN/view?usp=drivesdk"">View Document</a>","monitoring","benthos","assessment",NA,NA,NA
"techreport","tbep0408","Tampa Bay Interagency Seagrass Monitoring Program Synopsis: 1997-2006","W. Avery, R. Johansson","2008","NA","#04-08","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#04-08","seagrass, monitoring, assessment, status and trends, transect","https://drive.google.com/file/d/1MuTAoV_2Xrd3Hgu2Gmrr-hlPUq_H_rYC/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1MuTAoV_2Xrd3Hgu2Gmrr-hlPUq_H_rYC/view?usp=drivesdk"">View Document</a>","seagrass","monitoring","assessment","status and trends","transect",NA
"techreport","tbep0308","Tampa Bay Tidal Tributary Initiative: Public Summary Document","L. Cross","2008","NA","#03-08","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#03-08","education, fish and wildlife, bay habitats, tributary","https://drive.google.com/file/d/1NYu7VhM5N2QO6WaFCQEJDPwXbnA7T7M2/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1NYu7VhM5N2QO6WaFCQEJDPwXbnA7T7M2/view?usp=drivesdk"">View Document</a>","education","fish and wildlife","bay habitats","tributary",NA,NA
"techreport","tbep02a08","Tampa Bay Tidal Tributary Habitat Initiative: DVD of Appendices and Datasets","E. Sherwood","2008","NA","#02a-08","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#02a-08","water quality, bay habitats, assessment, fish and wildlife, tributary","https://drive.google.com/drive/folders/1W2p3TkCmJEEzrbvGA4Jkk4PN76JF-Fss","<a href=""https://drive.google.com/drive/folders/1W2p3TkCmJEEzrbvGA4Jkk4PN76JF-Fss"">View Document</a>","water quality","bay habitats","assessment","fish and wildlife","tributary",NA
"techreport","tbep0208","Tampa Bay Tidal Tributary Habitat Initiative: Integrated Summary Document","E. Sherwood","2008","NA","#02-08","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#02-08","water quality, bay habitats, assessment, fish and wildlife, tributary","https://drive.google.com/file/d/1ox3GGKs_Ab3VorrHF4EhZQZFd1ETjK7o/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1ox3GGKs_Ab3VorrHF4EhZQZFd1ETjK7o/view?usp=drivesdk"">View Document</a>","water quality","bay habitats","assessment","fish and wildlife","tributary",NA
"techreport","tbep0108","Tracking Chlorophyll-a and Light Attenuation in Tampa Bay: Application to 2007 Data","E. Sherwood","2008","NA","#01-08","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#01-08","assessment, chlorophyll, light attenuation, water quality, seagrass","https://drive.google.com/file/d/143S5QdMCmXtfo4QMd1OvyVdNBZaWVqgA/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/143S5QdMCmXtfo4QMd1OvyVdNBZaWVqgA/view?usp=drivesdk"">View Document</a>","assessment","chlorophyll","light attenuation","water quality","seagrass",NA
"techreport","tbep0607","Technical Memorandum: Analysis of Seagrass Change in Tampa Bay","Janicki Environmental, Inc.","2007","NA","#06-07","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#06-07","assessment, bay habitats, seagrass, status and trends, monitoring","https://drive.google.com/file/d/1ISByteY8RQqEEORJHtM1Ivlf6Sk1v6Kl/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1ISByteY8RQqEEORJHtM1Ivlf6Sk1v6Kl/view?usp=drivesdk"">View Document</a>","assessment","bay habitats","seagrass","status and trends","monitoring",NA
"techreport","tbep0507","Tampa Bay Seagrass Management Area Determination, Status & Trends, & Water Quality Target Attainment","E. Sherwood, others","2007","NA","#05-07","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#05-07","assessment, bay habitats, water quality, seagrass, chlorophyll","https://drive.google.com/file/d/1zp5llrGHUQ0NH16KpD3Q9Hs89JaaAof0/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1zp5llrGHUQ0NH16KpD3Q9Hs89JaaAof0/view?usp=drivesdk"">View Document</a>","assessment","bay habitats","water quality","seagrass","chlorophyll",NA
"techreport","tbep0407","CMAQ-UCD Atmospheric Deposition Estimates to Tampa Bay Watershed Sub-basins and Tampa Bay Waters","R.L. Dennis, J. Arnold","2007","NA","#04-07","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#04-07","modelling, nitrogen, assessment, water quality","https://drive.google.com/file/d/1eKEsxorStpv89gL3ZzCVoCKcslXjZE30/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1eKEsxorStpv89gL3ZzCVoCKcslXjZE30/view?usp=drivesdk"">View Document</a>","modelling","nitrogen","assessment","water quality",NA,NA
"techreport","tbep0307","Feather Sound Seagrass Recovery Project: Final Report and Management Recommendations for Feather Sound, Old Tampa Bay, Florida","L.M. Cross","2007","NA","#03-07","NA","NA","NA","NA","Report to the Pinellas County Environmental Fund","NA","NA","NA","#03-07","seagrass, modelling, water quality, wastewater, transect","https://drive.google.com/file/d/1HhPRLYQxNi0eP3-b_0x4C6W7VBjTpAhJ/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1HhPRLYQxNi0eP3-b_0x4C6W7VBjTpAhJ/view?usp=drivesdk"">View Document</a>","seagrass","modelling","water quality","wastewater","transect",NA
"techreport","tbep0207","Tampa Bay Epilithic Survey","A. Weinkauf, T. Cuba","2007","NA","#02-07","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#02-07","fish and wildlife, restoration, bay habitats, fish and wildlife, invasive species","https://drive.google.com/file/d/1Nrf_27NEAzU4-EZDvAub1vO_XbW_yRzg/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1Nrf_27NEAzU4-EZDvAub1vO_XbW_yRzg/view?usp=drivesdk"">View Document</a>","fish and wildlife","restoration","bay habitats","fish and wildlife","invasive species",NA
"techreport","tbep0107","Tracking Chlorophyll-a and Light Attenuation in Tampa Bay: Application to 2006 Data","A. Poe, A. Janicki","2007","NA","#01-07","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#01-07","chlorophyll, light attenuation, water quality, assessment","https://drive.google.com/file/d/1Up0NtBXb2iyXqyxKJ_Epp5wL5kk_aF-K/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1Up0NtBXb2iyXqyxKJ_Epp5wL5kk_aF-K/view?usp=drivesdk"">View Document</a>","chlorophyll","light attenuation","water quality","assessment",NA,NA
"techreport","tbep0706","Data Summary from the Tampa Bay Interagency Seagrass Monitoring Program through Year 2005","W. Avery, R. Johansson","2006","NA","#07-06","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#07-06","assessment, bay habitats, seagrass, monitoring, transect","https://drive.google.com/file/d/11mcf1qx-_kHnMT_NK9xW9Jx8E6fgLaor/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/11mcf1qx-_kHnMT_NK9xW9Jx8E6fgLaor/view?usp=drivesdk"">View Document</a>","assessment","bay habitats","seagrass","monitoring","transect",NA
"techreport","tbep0606","Baywide Environmental Monitoring Report, 2002-2005","A. Poe","2006","NA","#06-06","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#06-06","monitoring, bay habitats, water quality, fish and wildlife, pollutant loading, transect","https://drive.google.com/file/d/1MuJqHrkkCkgDQaq7izdVTlqHZ4KfRwtL/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1MuJqHrkkCkgDQaq7izdVTlqHZ4KfRwtL/view?usp=drivesdk"">View Document</a>","monitoring","bay habitats","water quality","fish and wildlife","pollutant loading","transect"
"techreport","tbep0506","Gammaridean Amphipoda of Tampa Bay, Florida (Gulf of Mexico): Taxonomic Composition, Distribution, and Association with abiotic variables","S. Grabe, D.Karlen, C. Holden, B. Goetting, S. Markham, T. Dix","2006","NA","#05-06","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#05-06","benthos, contaminants, fish and wildlife, bay habitats, benthos","https://drive.google.com/file/d/14cI1m_yvSRgMleyzZG_WLap7Jxije03p/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/14cI1m_yvSRgMleyzZG_WLap7Jxije03p/view?usp=drivesdk"">View Document</a>","benthos","contaminants","fish and wildlife","bay habitats","benthos",NA
"techreport","tbep0406","Benthic Oxygen and Nutrient Fluxes in Tampa Bay","P. Carlson, L. Yarbro","2006","NA","#04-06","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#04-06","benthos, assessment, nitrogen, pollutant loading, modelling","https://drive.google.com/file/d/1TMD6jB2uCDYlV7-yoqan5L8m5rEU0VzZ/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1TMD6jB2uCDYlV7-yoqan5L8m5rEU0VzZ/view?usp=drivesdk"">View Document</a>","benthos","assessment","nitrogen","pollutant loading","modelling",NA
"techreport","tbep0306","Tampa Bay Oyster Mapping and Assessment","K. O'Keefe, W. Arnold, D.Reed","2006","NA","#03-06","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#03-06","bay habitats, fish and wildlife, assessment, restoration, shellfish","https://drive.google.com/file/d/1RuyxG6OnXXnNH0FynEtc8EXD249qGn8G/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1RuyxG6OnXXnNH0FynEtc8EXD249qGn8G/view?usp=drivesdk"">View Document</a>","bay habitats","fish and wildlife","assessment","restoration","shellfish",NA
"techreport","tbep0206","Tracking Chlorophyll-a and Light Attenuation in Tampa Bay: Application to 2005 Data","A. Poe, A. Janicki, S. Janicki","2006","NA","#02-06","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#02-06","chlorophyll, light attenuation, water quality, assessment, status and trends","https://drive.google.com/file/d/1gY4WBxtdtA80YL-hDL9IJvlolrw1C-w_/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1gY4WBxtdtA80YL-hDL9IJvlolrw1C-w_/view?usp=drivesdk"">View Document</a>","chlorophyll","light attenuation","water quality","assessment","status and trends",NA
"techreport","tbep0106","Development of a Benthic Index to Establish Sediment Quality Targets for the Tampa Bay Estuary","D. Wade, K. Malloy, A. Janicki, R. Nijbroek, S. Grabe","2006","NA","#01-06","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#01-06","assessment, benthos, contaminants, monitoring, status and trends","https://drive.google.com/file/d/1jWYmbtBWACLXAM3F6xP9VqCD7qEbvOPF/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1jWYmbtBWACLXAM3F6xP9VqCD7qEbvOPF/view?usp=drivesdk"">View Document</a>","assessment","benthos","contaminants","monitoring","status and trends",NA
"techreport","tbep0605","Historical Longshore Mapping in Tampa Bay, Florida","R. Lewis","2005","NA","#06-05","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#06-05","spatial analysis, bay habitats, seagrass","https://drive.google.com/file/d/1JsCl30W9V4XgfbaZVMU0cxFFLLz1z9Uh/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1JsCl30W9V4XgfbaZVMU0cxFFLLz1z9Uh/view?usp=drivesdk"">View Document</a>","spatial analysis","bay habitats","seagrass",NA,NA,NA
"proceedings","tbep0505","Bay Area Scientific Information Symposium 4 : Linking Science to Management","S. F. Treat","2005","NA","NA","NA","NA","NA","NA","Proceedings of a Workshop October 27-30, 2003","St. Petersburg, Florida","NA","#05-05","#05-05","monitoring, bay habitats, water quality, fish and wildlife, pollutant loading","https://drive.google.com/file/d/1cF6DA51oyZIn0tZp-TW0nssJE1pyuoPY/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1cF6DA51oyZIn0tZp-TW0nssJE1pyuoPY/view?usp=drivesdk"">View Document</a>","monitoring","bay habitats","water quality","fish and wildlife","pollutant loading",NA
"techreport","tbep04a05","Tampa Bay Dredged Hole Habitat Assessment Project: Technical CD","L. Griffen, H. Greening","2005","NA","#04a-05","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#04a-05","bay habitats, benthos, fish and wildlife, contaminants, assessment","https://drive.google.com/file/d/1FGhF7UD9VVpaLPhILfzH_bP4Z3fLZWol/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1FGhF7UD9VVpaLPhILfzH_bP4Z3fLZWol/view?usp=drivesdk"">View Document</a>","bay habitats","benthos","fish and wildlife","contaminants","assessment",NA
"techreport","tbep0405","Tampa Bay Dredged Hole Habitat Assessment Project","L. Griffen, H. Greening","2005","NA","#04-05","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#04-05","bay habitats, benthos, fish and wildlife, contaminants, assessment","https://drive.google.com/file/d/1YgmmMU6jk2MTR5a7dNiT_fIvRMC_Bo9-/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1YgmmMU6jk2MTR5a7dNiT_fIvRMC_Bo9-/view?usp=drivesdk"">View Document</a>","bay habitats","benthos","fish and wildlife","contaminants","assessment",NA
"techreport","tbep0305","Data Summary from the Tampa Bay Interagency Seagrass Monitoring Program through Year 2004","W. Avery, R. Johansson","2005","NA","#03-05","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#03-05","seagrass, monitoring, bay habitats, status and trends, spatial analysis, transect","https://drive.google.com/file/d/10Fr8GIutwZuzCBsmR8HVeRfYHWJCZm95/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/10Fr8GIutwZuzCBsmR8HVeRfYHWJCZm95/view?usp=drivesdk"">View Document</a>","seagrass","monitoring","bay habitats","status and trends","spatial analysis","transect"
"techreport","tbep0205","Estimates of Total Nitrogen, Total Phosphorus, Total Suspended Solids, and Biochemical Oxygen Demand Loadings to Tampa Bay, Florida: 1999 -2003","A. Poe, K. Hackett, S. Janicki, R. Pribble, A. Janicki","2005","NA","#02-05","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#02-05","pollutant loading, water quality, nitrogen, chlorophyll, modelling","https://drive.google.com/file/d/1GNSb5i_x_WSxe8VKz9FtqZ7fjWcnVqHO/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1GNSb5i_x_WSxe8VKz9FtqZ7fjWcnVqHO/view?usp=drivesdk"">View Document</a>","pollutant loading","water quality","nitrogen","chlorophyll","modelling",NA
"techreport","tbep0105","Tracking Chlorophyll-a and Light Attenuation in Tampa Bay: Application to 2004 Data","Janicki Environmental, Inc.","2005","NA","#01-05","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#01-05","water quality, chlorophyll, light attenuation, status and trends, seagrass","https://drive.google.com/file/d/1GNSb5i_x_WSxe8VKz9FtqZ7fjWcnVqHO/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1GNSb5i_x_WSxe8VKz9FtqZ7fjWcnVqHO/view?usp=drivesdk"">View Document</a>","water quality","chlorophyll","light attenuation","status and trends","seagrass",NA
"proceedings","tbep0804","Tampa Bay Tidal Rivers and Streams: Presentations from a Workshop held June 23, 2004","Workshop participants","2004","NA","NA","NA","NA","NA","NA","Presentations by workshop participants","St. Petersburg, Florida","NA","#08-04","#08-04","water quality, fish and wildlife, monitoring, program guidance, regulations","https://drive.google.com/file/d/1iqkw3IjGZxw5IRHui7FFs0IC3uMPtr3Q/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1GNSb5i_x_WSxe8VKz9FtqZ7fjWcnVqHO/view?usp=drivesdk"">View Document</a>","water quality","fish and wildlife","monitoring","program guidance","regulations",NA
"techreport","tbep0704","Factors Influencing Seagrass Recovery in Feather Sound, Tampa Bay, Florida","L. Griffen, H. Greening","2004","NA","#07-04","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#07-04","seagrass, restoration, water quality, chlorophyll, modelling","https://drive.google.com/file/d/1-P4uYhVE2FaN5REMHolbM90G2Elsgzyb/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1-P4uYhVE2FaN5REMHolbM90G2Elsgzyb/view?usp=drivesdk"">View Document</a>","seagrass","restoration","water quality","chlorophyll","modelling",NA
"techreport","tbep0604","Effects of Changes in Freshwater Inflows on Biological Resources of Tampa Bay Tributaries","Janicki Environmental, Inc.","2004","NA","#06-04","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#06-04","modelling, bay habitats, water quality, fish and wildlife, tributary","https://drive.google.com/file/d/1EJRnPTAc1KLqaR12dQDgZQZpPvfTr0XX/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1EJRnPTAc1KLqaR12dQDgZQZpPvfTr0XX/view?usp=drivesdk"">View Document</a>","modelling","bay habitats","water quality","fish and wildlife","tributary",NA
"techreport","tbep0504","Data Summary from the Tampa Bay Interagency Seagrass Monitoring Program Through 2003","W. Avery, R. Johansson","2004","NA","#05-04","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#05-04","seagrass, monitoring, bay habitats, status and trends, spatial analysis, transect","https://drive.google.com/file/d/1y74aCefZ5X91hqYZauXjCi6nzRDBNevH/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1y74aCefZ5X91hqYZauXjCi6nzRDBNevH/view?usp=drivesdk"">View Document</a>","seagrass","monitoring","bay habitats","status and trends","spatial analysis","transect"
"techreport","tbep0404","Interim Report of a Pilot Study to Evaluate Impacts to Water Quality and Seagrass Meadows from the Green Mussel (Perna Viridis) Invasion in Hillsborough Bay, Tampa Bay, Florida","J.O.R. Johansson, W.M. Avery","2004","NA","#04-04","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#04-04","invasive species, shellfish, seagrass, water quality, assessment","https://drive.google.com/file/d/1yZsVj91fEOYwnPzeWEpEaP-PoLGsruGg/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1yZsVj91fEOYwnPzeWEpEaP-PoLGsruGg/view?usp=drivesdk"">View Document</a>","invasive species","shellfish","seagrass","water quality","assessment",NA
